"id","FrontalSync","CentralSync","ParietalSync","trial"
"MOD1022",0.108943297731513,0.205903922789637,-0.102964680474947,"Std"
"MOD1025",0.213111872209828,0.0404233272782021,0.36905131337474,"Std"
"MOD1051",0.103684343089334,0.0667541143970977,-0.0166207690561803,"Std"
"MOD1054",0.10671702381782,-0.00253239381347447,0.138612079400079,"Std"
"MOD1058",0.0734885709506707,0.0240735363167043,0.21761423741811,"Std"
"MOD1085",0.0520864826843925,0.0537563405590199,-0.0184867681235868,"Std"
"MOD1118",0.00364927869278757,-0.0261093269452448,-0.0387754554854277,"Std"
"MOD1126",0.0802865540196943,0.0618251743513477,-0.0095262121205456,"Std"
"MOD1131",0.0358798976784502,0.530570709046062,0.00126600697066822,"Std"
"MOD1135",0.21169036606629,-0.0620780486485002,0.116935640047127,"Std"
"MOD1136",0.14143523880921,0.0366198481439252,0.0449383945276157,"Std"
"MOD1146",0.122295607185432,0.0556112426593487,0.101849202815884,"Std"
"MOD1147",0.0946755078157921,0.110880831040239,-0.0712390374417002,"Std"
"MOD1164",0.434081412905866,0.289750597799079,0.243463451328629,"Std"
"MOD1168",0.0884073842621345,0.0414160064223643,0.022069003291623,"Std"
"MOD1184",0.147015034041625,0.0279420874933995,0.218819832145906,"Std"
"MOD1188",0.138139317006261,0.0279314963718067,0.0778367780619036,"Std"
"MOD1192",0.27028451447489,0.111144103245798,0.172014522178613,"Std"
"MOD1195",0.169116448827618,-0.00988487570256189,0.0989812019665905,"Std"
"MOD1209",0.187324364116799,0.161088283809322,0.107279497819804,"Std"
"MOD1220",0.198566661310197,0.0724000483523043,0.0534461669573599,"Std"
"MOD1239",0.135768403094102,0.0774334122136089,0.303823160026661,"Std"
"MOD1252",0.0371094049193985,0.0697932647058796,0.0910383250013554,"Std"
"MOD1256",0.148045878757548,0.0279965535076322,0.072823151191536,"Std"
"MOD1262",0.12555006622824,0.0213403928027617,0.142708383284262,"Std"
"MOD1266",0.149964935680291,0.137512892684488,0.201956685915135,"Std"
"MOD1277",0.0534512988782161,0.0235050128762304,0.00791065432180299,"Std"
"MOD1293",0.393278148315482,0.168153232616988,0.151809414053117,"Std"
"MOD1302",0.183832111953041,0.115433067677498,0.000423493884935194,"Std"
"MOD1310",0.205181179614244,0.155287778694677,0.250507122265113,"Std"
"MOD1312",0.0118488886412173,0.146951158123644,0.24431595270101,"Std"
"MOD1315",-0.0113160141086681,0.122586860093427,0.0840762469093856,"Std"
"MOD1319",0.135784180072911,0.0115107905873797,0.0195502077096042,"Std"
"MOD1325",0.1234689656116,-0.00821673312047582,0.0108076171899412,"Std"
"MOD1337",0.189922030036039,0.17983967400702,0.137135459236251,"Std"
"MOD1347",0.12738204923745,0.0219124291178245,-0.0098394723343755,"Std"
"MOD1357",0.0402307874819236,0.0370549180730777,-0.0788757843631294,"Std"
"MOD1384",0.0663040588044892,0.107204220857337,0.150672646874742,"Std"
"MOD1388",0.0491907362517868,0.0624451600057044,0.00165127803912501,"Std"
"MOD1390",0.0929145060561454,-0.049217165366172,0.0943551434781311,"Std"
"MOD1391",-0.0706882972813581,-0.0424821528607237,-0.149155032503566,"Std"
"MOD1394",0.14550615532289,0.00951665108483618,0.0587257768686616,"Std"
"MOD1395",0.0718087711076514,0.0314764004476474,0.176254732438289,"Std"
"MOD1397",0.102065504216366,0.0553872931852628,0.029611256160258,"Std"
"MOD1405",0.0198677280572724,-0.0256573945779066,-0.0223198029686217,"Std"
"MOD1414",0.122358166322914,0.0736797874314376,0.197621264504046,"Std"
"MOD1416",0.0335524010228489,0.0361051859502795,0.191547758365467,"Std"
"MOD1420",0.07252219838255,0.111591599882307,0.156506248892392,"Std"
"MOD1421",0.0704375401266334,0.0911536630555016,0.0350422700940576,"Std"
"MOD1426",0.208507631249384,-0.0357042004122337,0.0073850905838559,"Std"
"MOD1433",0.0198403153310359,-0.0208519384220317,0.0853877828130879,"Std"
"MOD1448",0.132874164155635,0.114116882330189,0.1406675223795,"Std"
"MOD1468",0.294603110441291,0.0410081613573027,0.0275839353239868,"Std"
